,Items,Região,Classe f %,Classe E %,Classe D %,Classe C %,Classe B %,Classe A %,Consumo Total Médio Percapita
0,Arroz polido,Brasil,20.0,19.81,18.36,14.51,15.21,12.11,102.39000000000001
1,Arroz polido,Norte,16.92,18.63,16.07,17.69,15.64,15.05,105.42999999999999
2,Arroz polido,Nordeste,21.41,21.27,18.75,13.52,14.64,10.4,104.4
3,Arroz polido,Sudeste,19.19,17.01,18.9,14.78,16.96,13.16,98.8
4,Arroz polido,Sul,18.42,22.85,18.64,14.38,13.35,12.37,84.59
5,Arroz polido,Centro-Oeste,19.74,23.58,18.11,15.87,13.28,9.41,136.91
6,Feijão,Brasil,24.18,23.91,18.48,12.5,8.97,11.96,3.68
7,Feijão,Norte,25.12,26.05,24.19,11.16,2.79,10.7,2.1500000000000004
8,Feijão,Nordeste,17.93,21.34,17.93,22.73,10.73,9.34,7.919999999999999
9,Feijão,Sudeste,15.91,15.0,20.45,8.64,13.64,26.36,2.1999999999999997
10,Feijão,Sul,26.58,34.18,22.78,7.59,3.8,5.06,1.58
11,Feijão,Centro-Oeste,18.77,27.45,21.57,19.89,10.08,2.24,3.57
12,Feijão,Brasil,13.92,16.6,17.75,16.86,20.69,14.18,7.830000000000001
13,Feijão,Norte,11.11,12.78,20.56,14.63,13.15,27.78,5.4
14,Feijão,Nordeste,11.76,12.24,14.35,16.24,20.94,24.47,4.25
15,Feijão,Sudeste,20.38,18.16,16.94,14.62,20.82,9.08,9.030000000000001
16,Feijão,Sul,21.01,21.07,17.28,14.48,12.43,13.74,16.09
17,Feijão,Centro-Oeste,7.3,18.73,12.06,11.43,23.49,26.98,3.15
18,Farinha de mandioca,Brasil,31.44,25.37,15.27,11.41,8.13,8.37,12.18
19,Farinha de mandioca,Norte,20.34,21.06,16.83,19.76,14.05,7.96,57.03
20,Farinha de mandioca,Nordeste,19.62,21.82,16.56,15.07,8.56,18.37,20.900000000000002
21,Farinha de mandioca,Sudeste,24.2,21.57,17.49,10.79,14.87,11.08,3.4299999999999997
22,Farinha de mandioca,Sul,21.4,18.52,17.7,13.58,13.99,14.81,2.4299999999999997
23,Farinha de mandioca,Centro-Oeste,15.59,16.4,14.25,17.2,17.47,19.09,3.7199999999999998
24,Farinha de trigo,Brasil,10.31,13.7,18.89,18.46,20.33,18.31,13.870000000000001
25,Farinha de trigo,Norte,12.59,16.54,26.35,24.3,14.06,6.15,6.83
26,Farinha de trigo,Nordeste,9.62,11.38,16.19,14.42,20.67,27.72,6.24
27,Farinha de trigo,Sudeste,13.49,13.49,15.31,16.65,22.78,18.28,10.45
28,Farinha de trigo,Sul,17.38,18.22,20.2,15.21,13.97,15.02,42.53
29,Farinha de trigo,Centro-Oeste,12.0,16.47,19.84,17.46,17.56,16.67,10.08
30,Fubá de milho,Brasil,32.14,21.58,16.22,12.35,9.97,7.74,6.720000000000001
31,Fubá de milho,Norte,18.78,17.96,17.14,16.73,6.53,22.86,4.9
32,Fubá de milho,Nordeste,29.55,21.52,16.48,12.72,13.49,6.23,11.71
33,Fubá de milho,Sudeste,26.59,20.45,18.18,15.68,8.86,10.23,4.4
34,Fubá de milho,Sul,20.41,20.41,20.92,13.27,15.31,9.69,5.880000000000001
35,Fubá de milho,Centro-Oeste,19.45,16.04,12.97,21.84,16.38,13.31,2.93
36,Açúcar cristal,Brasil,19.09,20.33,20.21,17.11,12.63,10.62,32.85
37,Açúcar cristal,Norte,13.49,15.65,14.86,20.92,15.54,19.53,38.089999999999996
38,Açúcar cristal,Nordeste,16.66,18.58,20.65,17.77,13.13,13.2,39.61
39,Açúcar cristal,Sudeste,19.82,20.19,22.0,18.48,11.96,7.55,29.270000000000003
40,Açúcar cristal,Sul,22.25,22.65,18.37,12.11,14.49,10.14,27.820000000000004
41,Açúcar cristal,Centro-Oeste,19.62,20.05,15.65,17.62,12.54,14.52,46.64
42,Molho de tomate,Brasil,6.85,10.27,14.88,18.75,23.36,25.89,6.720000000000001
43,Molho de tomate,Norte,5.61,5.94,9.57,20.13,35.31,23.43,3.0300000000000002
44,Molho de tomate,Nordeste,5.57,11.38,12.83,19.13,20.58,30.51,4.13
45,Molho de tomate,Sudeste,10.67,10.9,16.18,16.97,22.81,22.47,8.9
46,Molho de tomate,Sul,8.9,14.92,13.63,17.79,19.8,24.96,6.970000000000001
47,Molho de tomate,Centro-Oeste,11.16,8.04,12.05,21.88,14.51,32.37,4.4799999999999995
48,Óleo de soja,Brasil,16.34,17.75,19.08,18.09,16.07,12.67,26.200000000000003
49,Óleo de soja,Norte,17.11,18.11,19.63,17.76,12.81,14.59,23.029999999999998
50,Óleo de soja,Nordeste,20.45,20.78,17.93,16.02,11.81,13.01,18.29
51,Óleo de soja,Sudeste,16.77,17.03,19.93,18.85,16.63,10.79,27.9
52,Óleo de soja,Sul,18.38,18.93,18.22,16.26,13.62,14.6,29.59
53,Óleo de soja,Centro-Oeste,17.79,20.8,17.87,14.31,17.1,12.13,34.86
54,Café moído,Brasil,15.11,16.13,16.34,16.0,17.15,19.26,14.69
55,Café moído,Norte,16.41,17.31,16.82,17.8,17.64,14.03,12.189999999999998
56,Café moído,Nordeste,16.51,17.94,16.37,15.58,14.65,18.94,13.99
57,Café moído,Sudeste,14.05,14.44,17.03,16.19,17.94,20.34,15.440000000000001
58,Café moído,Sul,16.29,17.77,15.87,14.6,17.56,17.91,14.18
59,Café moído,Centro-Oeste,14.96,18.91,15.33,18.69,14.31,17.81,13.700000000000001
